[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.975
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.95
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.95
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.959
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.959
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.975
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.959
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.95
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.975
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.975
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.975
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.975
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.975
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.95
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.959
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.959
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.959
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.976
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.967
[9, 10, 11],[0, 1, 2],[30],[100],[0],'['uniform', 'normal']','[<class 'keras.optimizers.Nadam'>, <class 'keras.optimizers.Adam'>]','[<function binary_crossentropy at 0x7f957e33c6a8>]','[<function relu at 0x7f957e2f3378>, <function elu at 0x7f957e2f3158>]','['sigmoid']',0.984
